Policy_Index,Actual_Premium,Optimal_Premium,Base_Risk_Premium,Actual_Claims,Predicted_Claims,Claim_Probability,Premium_Change_Percent,Original_Loss_Ratio,Optimized_Loss_Ratio
818495,334.645789473684,35854.79653056483,27580.6127158191,38335.96491228064,37009.996,0.7452206329866846,10614.252997760905,114.55684224377583,1.069200459124087
778242,660.713596491228,100000.0,213820.5631932684,250628.07017543848,242076.38,0.8832772846721137,15035.150923343781,379.32936677316576,2.5062807017543847
88152,74.561403508771,6399.277378510484,4922.52106039268,6140.35087719298,6098.5435,0.8071633981253857,8482.560248825934,82.35294117647159,0.9595381656392941
934469,1124.32710526316,100000.0,112091.54910167512,243832.47368421036,255278.31,0.4390954640993059,8794.20877001751,216.8696925857168,2.4383247368421035
337552,416.416140350877,29391.9565479296,22609.19734456123,27017.5438596491,26359.123,0.8577370842100778,6958.313475352709,64.88111588778429,0.9192155621076625
374829,21.929824561403,1359.511452961289,1045.778040739453,1300.0,1274.9987,0.8202189349863938,6099.372225503622,59.28000000000138,0.9562258539038703
955241,647.229649122807,25462.221298468692,19586.324075745146,21217.5701754386,22153.154,0.8841325173502743,3834.0319673206786,32.78213568274392,0.8332961184621639
48306,305.636140350877,73164.29468337212,56280.226679517014,68323.6842105264,66250.125,0.8495112526884596,23838.36494577438,223.54582848772174,0.9338391698601881
900330,0.0,20665.968726966476,15896.899020743444,39015.263157894704,37573.844,0.4230841839476016,inf,0.0,1.8878990708519132
385526,21.929824561403,813.455998580109,625.7353835231607,750.649122807018,762.88824,0.8202189349863938,3609.359353525384,34.229600000000815,0.9227900760671496
665105,21.929824561403,1574.7550340272464,1211.350026174805,1450.0,1476.8618,0.8202189349863938,7080.882955164411,66.12000000000154,0.9207781328958826
239567,938.836140350877,28220.58886349506,21708.145279611585,24922.43859649126,24012.148,0.9040484376529077,2905.9120703372164,26.546100565724753,0.8831296440000888
140616,74.561403508771,4272.444330589004,3286.4956389146178,3947.36842105263,4071.661,0.8071633981253857,5630.101808084148,52.94117647058888,0.923913365656058
87503,21.929824561403,813.455998580109,625.7353835231607,750.649122807018,762.88824,0.8202189349863938,3609.359353525384,34.229600000000815,0.9227900760671496
272107,707.907368421053,12007.444599377968,9236.49584567536,9259.47368421052,10524.453,0.8776224033660047,1596.1886731253962,13.080063998857996,0.77114440192297
733802,841.583596491228,1130.6112871965622,869.7009901512016,800.0,980.2619,0.8872128851534531,34.343313238323894,0.9505888700010309,0.7075818268042076
132351,519.132105263158,100000.0,93863.51979265067,106798.24561403514,106507.54,0.8812852181062066,19162.91958947676,205.72460175603484,1.0679824561403515
255145,74.561403508771,6399.277378510484,4922.52106039268,6140.35087719298,6098.5435,0.8071633981253857,8482.560248825934,82.35294117647159,0.9595381656392941
164722,15.78947368421,3023.0618343243336,2325.4321802494874,2968.705263157893,2854.6514,0.814611621923059,19046.05828405475,188.01800000000617,0.9820193650856667
594167,74.561403508771,6399.277378510484,4922.52106039268,6140.35087719298,6098.5435,0.8071633981253857,8482.560248825934,82.35294117647159,0.9595381656392941
31236,141.800964912281,3012.435514048146,2317.258087729343,10438.5964912281,10809.527,0.214371823488579,2024.4111532750562,73.61442496308459,3.4651684467763397
676148,770.118684210526,67064.093476649,51587.76421280692,56913.052631578896,58102.145,0.887880552929688,8608.28027570823,73.9016645076237,0.848636724678839
407318,74.561403508771,6399.277378510484,4922.52106039268,6140.35087719298,6098.5435,0.8071633981253857,8482.560248825934,82.35294117647159,0.9595381656392941
422140,21.929824561403,446.7155922556605,343.62737865820037,342.973684210526,418.94592,0.8202189349863938,1937.0231006858592,15.63960000000035,0.7677674344848886
607346,21.929824561403,1251.2816120643909,962.5243169726083,1150.0,1173.4968,0.8202189349863938,5605.8441510137545,52.44000000000122,0.9190576996514044
171732,21.929824561403,2486.345857749216,1912.573736730166,2315.78947368421,2331.7844,0.8202189349863938,11237.73711133669,105.60000000000242,0.9314027919593602
354065,21.929824561403,2486.345857749216,1912.573736730166,2289.473684210525,2331.7844,0.8202189349863938,11237.73711133669,104.40000000000236,0.920818669323458
28038,21.929824561403,1335.8528607878231,1027.579123682941,1429.63157894737,1395.429,0.7363894234410597,5991.489045192616,65.19120000000159,1.0702013828860166
72244,370.538947368421,44906.25035214688,34543.26950165145,39473.684210526306,39905.434,0.8656282212921903,12019.171458512648,106.53045918889127,0.8790242761526658
876765,15.78947368421,853.7262550013824,656.7125038472171,750.0,806.1664,0.814611621923059,5306.932948342269,47.500000000001585,0.8785017394115232
278609,0.0,1802.2190731319342,1386.3223639476416,4047.36842105263,6100.9077,0.22723214786131973,inf,0.0,2.2457693858599708
319745,493.006929824561,68693.20674032494,52840.92826178841,59940.350877193,60136.8,0.8786787387310371,13833.517479109221,121.58115282177286,0.8725804736963348
59009,696.014561403509,14074.98393735997,10826.91072104613,9224.40350877193,12282.189,0.8815130854614361,1922.2254989863795,13.253176040126197,0.6553757751926885
721194,527.155,20605.286533422004,15850.220410324617,19099.2894736842,18137.277,0.8739029629376265,3808.7719045483786,36.23087986205992,0.9269121030035151
699492,642.30798245614,20742.151004941214,15955.500773031701,18546.14298245614,18157.738,0.8787163095916867,3129.3154641523683,28.87422154016677,0.8941282405107387
752836,981.322280701754,30444.214370995145,23418.626439227035,26028.3245614035,26381.775,0.8876819733500214,3002.366569036236,26.523727294554412,0.8549514283476221
400937,639.644912280702,31101.767908896618,23924.436852997398,26288.5964912281,27072.803,0.8837074272557658,4762.34898640887,41.09873460494532,0.8452444429600506
